HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Stoke,WestBrom,3,1,H,9,17,5,7
Swansea,CrystalPalace,1,1,D,7,13,2,5
WestHam,Newcastle,2,3,A,19,11,6,4
Bournemouth,WestHam,3,3,D,26,10,10,5
Chelsea,Brighton,2,0,H,25,8,8,1
Huddersfield,Stoke,1,1,D,18,15,8,7
Liverpool,Swansea,5,0,H,22,7,9,4
ManUnited,Burnley,2,2,D,23,3,6,2
Tottenham,Southampton,5,2,H,16,16,7,6
Watford,Leicester,2,1,H,11,11,1,5
WestBrom,Everton,0,0,D,17,7,3,3
Newcastle,ManCity,0,1,A,6,22,2,6
CrystalPalace,Arsenal,2,3,A,16,16,2,9
Bournemouth,Everton,2,1,H,19,6,7,1
Chelsea,Stoke,5,0,H,21,1,12,1
Huddersfield,Burnley,0,0,D,3,11,1,4
Liverpool,Leicester,2,1,H,17,7,6,1
ManUnited,Southampton,0,0,D,15,8,3,3
Newcastle,Brighton,0,0,D,11,10,2,3
Watford,Swansea,1,2,A,9,9,4,4
CrystalPalace,ManCity,0,0,D,10,15,1,4
WestBrom,Arsenal,1,1,D,14,14,3,4
Brighton,Bournemouth,2,2,D,15,26,6,8
Burnley,Liverpool,1,2,A,13,19,4,5
Everton,ManUnited,0,2,A,12,21,0,6
Leicester,Huddersfield,3,0,H,11,6,5,1
Stoke,Newcastle,0,1,A,11,14,4,6
ManCity,Watford,3,1,H,17,7,7,4
Southampton,CrystalPalace,1,2,A,10,11,3,4
Swansea,Tottenham,0,2,A,8,12,1,5
WestHam,WestBrom,2,1,H,13,10,5,3
Arsenal,Chelsea,2,2,D,14,19,6,6
Tottenham,WestHam,1,1,D,31,3,8,1
Chelsea,Leicester,0,0,D,17,14,7,1
CrystalPalace,Burnley,1,0,H,17,8,2,2
Huddersfield,WestHam,1,4,A,8,8,2,6
Newcastle,Swansea,1,1,D,12,8,4,5
Tottenham,Everton,4,0,H,20,7,10,0
Watford,Southampton,2,2,D,16,10,4,4
WestBrom,Brighton,2,0,H,15,13,4,1
Bournemouth,Arsenal,2,1,H,13,12,5,3
Liverpool,ManCity,4,3,H,16,11,7,4
ManUnited,Stoke,3,0,H,20,11,9,5
Arsenal,CrystalPalace,4,1,H,16,9,10,5
Brighton,Chelsea,0,4,A,10,14,3,10
Burnley,ManUnited,0,1,A,13,12,2,2
Everton,WestBrom,1,1,D,9,15,4,5
Leicester,Watford,2,0,H,9,11,5,3
ManCity,Newcastle,3,1,H,21,6,9,4
Stoke,Huddersfield,2,0,H,11,6,6,3
WestHam,Bournemouth,1,1,D,12,8,4,3
Southampton,Tottenham,1,1,D,10,17,4,2
Swansea,Liverpool,1,0,H,3,21,2,4
Huddersfield,Liverpool,0,3,A,5,14,1,7
Swansea,Arsenal,3,1,H,12,9,4,4
WestHam,CrystalPalace,1,1,D,8,9,3,3
Chelsea,Bournemouth,0,3,A,21,11,5,5
Everton,Leicester,2,1,H,9,8,4,1
ManCity,WestBrom,3,0,H,19,3,10,1
Newcastle,Burnley,1,1,D,14,11,4,2
Southampton,Brighton,1,1,D,18,9,3,2
Stoke,Watford,0,0,D,11,12,4,2
Tottenham,ManUnited,2,0,H,22,6,6,3
Arsenal,Everton,5,1,H,15,11,7,2
Bournemouth,Stoke,2,1,H,15,13,8,4
Brighton,WestHam,3,1,H,21,4,5,1
Burnley,ManCity,1,1,D,8,20,3,7
Leicester,Swansea,1,1,D,13,3,5,1
