HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
AstonVilla,CrystalPalace,1,0,H,13,9,3,1
Bournemouth,WestHam,1,3,A,11,10,4,5
Newcastle,ManUnited,3,3,D,14,12,6,4
Chelsea,WestBrom,2,2,D,14,13,2,6
Liverpool,Arsenal,3,3,D,22,14,6,5
ManCity,Everton,0,0,D,22,7,5,2
Southampton,Watford,2,0,H,15,4,7,1
Stoke,Norwich,3,1,H,14,5,4,2
Swansea,Sunderland,2,4,A,10,7,5,5
Tottenham,Leicester,0,1,A,21,10,5,2
AstonVilla,Leicester,1,1,D,14,12,5,5
Bournemouth,Norwich,3,0,H,15,10,8,3
Chelsea,Everton,3,3,D,14,9,7,4
ManCity,CrystalPalace,4,0,H,17,9,4,3
Newcastle,WestHam,2,1,H,23,10,10,3
Southampton,WestBrom,3,0,H,9,9,5,0
Tottenham,Sunderland,4,1,H,26,5,11,2
Liverpool,ManUnited,0,1,A,19,7,4,1
Stoke,Arsenal,0,0,D,14,8,6,3
Swansea,Watford,1,0,H,10,13,2,2
CrystalPalace,Tottenham,1,3,A,11,24,3,11
Leicester,Stoke,3,0,H,15,3,5,2
ManUnited,Southampton,0,1,A,8,7,1,2
Norwich,Liverpool,4,5,A,6,13,5,7
Sunderland,Bournemouth,1,1,D,10,15,5,5
Watford,Newcastle,2,1,H,13,11,5,2
WestBrom,AstonVilla,0,0,D,4,15,0,4
WestHam,ManCity,2,2,D,10,16,3,3
Arsenal,Chelsea,0,1,A,9,12,1,6
Everton,Swansea,1,2,A,20,7,2,5
Arsenal,Southampton,0,0,D,21,14,11,3
CrystalPalace,Bournemouth,1,2,A,14,8,3,4
Leicester,Liverpool,2,0,H,13,14,6,2
ManUnited,Stoke,3,0,H,15,10,5,0
Norwich,Tottenham,0,3,A,10,17,2,6
Sunderland,ManCity,0,1,A,11,6,2,2
WestBrom,Swansea,1,1,D,17,18,7,4
WestHam,AstonVilla,2,0,H,25,6,6,2
Everton,Newcastle,3,0,H,18,7,7,3
Watford,Chelsea,0,0,D,12,12,3,4
AstonVilla,Norwich,2,0,H,10,12,3,4
Liverpool,Sunderland,2,2,D,16,7,5,2
ManCity,Leicester,1,3,A,22,14,4,7
Newcastle,WestBrom,1,0,H,19,7,7,0
Southampton,WestHam,1,0,H,8,18,2,2
Stoke,Everton,0,3,A,11,14,3,6
Swansea,CrystalPalace,1,1,D,19,12,3,2
Tottenham,Watford,1,0,H,26,3,9,0
Bournemouth,Arsenal,0,2,A,17,10,4,5
Chelsea,ManUnited,1,1,D,16,17,5,7
Bournemouth,Stoke,1,3,A,11,11,2,6
Chelsea,Newcastle,5,1,H,15,10,5,4
CrystalPalace,Watford,1,2,A,14,10,7,3
Everton,WestBrom,0,1,A,34,5,6,1
Norwich,WestHam,2,2,D,13,11,3,6
Sunderland,ManUnited,2,1,H,21,12,5,6
Swansea,Southampton,0,1,A,13,13,2,5
Arsenal,Leicester,2,1,H,24,7,6,3
AstonVilla,Liverpool,0,6,A,6,11,1,9
ManCity,Tottenham,1,2,A,19,6,4,3
Leicester,Norwich,1,0,H,13,9,3,1
Southampton,Chelsea,1,2,A,7,16,2,4
Stoke,AstonVilla,2,1,H,11,5,3,1
Watford,Bournemouth,0,0,D,14,11,1,3
WestBrom,CrystalPalace,3,2,H,11,15,5,2
WestHam,Sunderland,1,0,H,9,13,3,4
Tottenham,Swansea,2,1,H,34,10,14,4
ManUnited,Arsenal,3,2,H,7,13,5,5
AstonVilla,Everton,1,3,A,14,10,5,7
Bournemouth,Southampton,2,0,H,9,6,4,1
Leicester,WestBrom,2,2,D,22,11,5,3
Norwich,Chelsea,1,2,A,13,10,2,2
Sunderland,CrystalPalace,2,2,D,17,13,6,5
Arsenal,Swansea,1,2,A,18,11,4,2
Liverpool,ManCity,3,0,H,11,4,7,2
ManUnited,Watford,1,0,H,14,13,3,3
Stoke,Newcastle,1,0,H,9,5,2,3
WestHam,Tottenham,1,0,H,14,9,3,2
Chelsea,Stoke,1,1,D,20,16,7,5
Everton,WestHam,2,3,A,15,17,8,5
ManCity,AstonVilla,4,0,H,22,2,9,1
Newcastle,Bournemouth,1,3,A,14,16,3,5
Southampton,Sunderland,1,1,D,16,11,5,3
Swansea,Norwich,1,0,H,10,8,3,3
Tottenham,Arsenal,2,2,D,26,10,11,4
Watford,Leicester,0,1,A,11,14,4,7
CrystalPalace,Liverpool,1,2,A,14,19,4,5
WestBrom,ManUnited,1,0,H,9,7,2,1
Bournemouth,Swansea,3,2,H,12,12,4,4
Norwich,ManCity,0,0,D,5,15,0,3
Stoke,Southampton,1,2,A,13,11,2,4
AstonVilla,Tottenham,0,2,A,11,19,2,8
Leicester,Newcastle,1,0,H,10,13,1,2
Chelsea,WestHam,2,2,D,22,13,5,6
CrystalPalace,Leicester,0,1,A,12,8,4,3
Everton,Arsenal,0,2,A,8,11,2,3
Swansea,AstonVilla,1,0,H,10,12,1,2
Watford,Stoke,1,2,A,9,9,4,6
WestBrom,Norwich,0,1,A,10,7,0,1
ManCity,ManUnited,0,1,A,26,5,2,3
Newcastle,Sunderland,1,1,D,17,14,8,4
Southampton,Liverpool,3,2,H,16,18,5,9
Tottenham,Bournemouth,3,0,H,17,2,8,0
Arsenal,Watford,4,0,H,19,6,12,2
AstonVilla,Chelsea,0,4,A,15,11,4,8
Bournemouth,ManCity,0,4,A,11,15,2,7
Liverpool,Tottenham,1,1,D,15,18,7,5
Norwich,Newcastle,3,2,H,13,13,6,5
Stoke,Swansea,2,2,D,12,12,5,3
Sunderland,WestBrom,0,0,D,22,3,7,0
WestHam,CrystalPalace,2,2,D,18,12,6,5
Leicester,Southampton,1,0,H,11,10,4,2
ManUnited,Everton,1,0,H,10,7,2,1
AstonVilla,Bournemouth,1,2,A,6,12,1,3
CrystalPalace,Norwich,1,0,H,13,13,6,4
ManCity,WestBrom,2,1,H,13,13,4,2
Southampton,Newcastle,3,1,H,20,5,6,3
Swansea,Chelsea,1,0,H,12,8,6,2
Watford,Everton,1,1,D,13,12,5,7
WestHam,Arsenal,3,3,D,19,11,7,6
Liverpool,Stoke,4,1,H,14,10,6,3
Sunderland,Leicester,0,2,A,15,17,1,7
Tottenham,ManUnited,3,0,H,16,5,8,1
CrystalPalace,Everton,0,0,D,18,9,6,5
Chelsea,ManCity,0,3,A,11,11,4,8
Everton,Southampton,1,1,D,7,18,2,4
ManUnited,AstonVilla,1,0,H,13,7,4,1
Newcastle,Swansea,3,0,H,12,11,7,1
Norwich,Sunderland,0,3,A,19,8,6,3
WestBrom,Watford,0,1,A,16,11,4,4
Arsenal,CrystalPalace,1,1,D,21,7,6,2
Bournemouth,Liverpool,1,2,A,18,19,5,6
Leicester,WestHam,2,2,D,6,19,2,4
Stoke,Tottenham,0,4,A,12,23,2,6
Newcastle,ManCity,1,1,D,5,9,3,5
Liverpool,Everton,4,0,H,37,3,13,0
ManUnited,CrystalPalace,2,0,H,16,5,10,0
WestHam,Watford,3,1,H,18,7,7,4
Arsenal,WestBrom,2,0,H,16,8,7,1
AstonVilla,Southampton,2,4,A,16,17,7,7
Bournemouth,Chelsea,1,4,A,13,16,4,4
Liverpool,Newcastle,2,2,D,13,6,4,3
ManCity,Stoke,4,0,H,11,14,6,2
Leicester,Swansea,4,0,H,18,9,9,1
Sunderland,Arsenal,0,0,D,12,20,3,7
Tottenham,WestBrom,1,1,D,19,16,2,3
Arsenal,Norwich,1,0,H,14,12,3,3
Everton,Bournemouth,2,1,H,12,16,5,2
Newcastle,CrystalPalace,1,0,H,10,9,4,3
Stoke,Sunderland,1,1,D,11,14,3,5
Watford,AstonVilla,3,2,H,18,7,6,2
WestBrom,WestHam,0,3,A,15,8,5,4
ManUnited,Leicester,1,1,D,21,14,6,3
Southampton,ManCity,4,2,H,14,6,7,5
Swansea,Liverpool,3,1,H,18,11,9,3
Chelsea,Tottenham,2,2,D,13,16,5,5
AstonVilla,Newcastle,0,0,D,2,9,0,3
Bournemouth,WestBrom,1,1,D,12,12,4,4
CrystalPalace,Stoke,2,1,H,17,12,4,3
Leicester,Everton,3,1,H,32,9,8,5
Norwich,ManUnited,0,1,A,8,15,2,2
Sunderland,Chelsea,3,2,H,15,9,4,8
WestHam,Swansea,1,4,A,25,13,7,6
Liverpool,Watford,2,0,H,19,14,5,3
ManCity,Arsenal,2,2,D,14,5,3,2
Tottenham,Southampton,1,2,A,20,10,6,2
WestHam,ManUnited,3,2,H,20,3,6,2
Liverpool,Chelsea,1,1,D,28,13,9,7
Norwich,Watford,4,2,H,18,12,6,7
Sunderland,Everton,3,0,H,14,17,8,6
Arsenal,AstonVilla,4,0,H,16,5,7,2
Chelsea,Leicester,1,1,D,17,18,4,5
Everton,Norwich,3,0,H,15,10,8,2
Newcastle,Tottenham,5,1,H,19,17,10,5
Southampton,CrystalPalace,4,1,H,18,16,5,4
Stoke,WestHam,2,1,H,7,20,4,7
Swansea,ManCity,1,1,D,4,18,1,5
Watford,Sunderland,2,2,D,21,6,6,4
WestBrom,Liverpool,1,1,D,13,7,1,3
ManUnited,Bournemouth,3,1,H,12,7,5,0
