HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
Swansea,Burnley,3,2,H,23,6,10,4
Watford,Southampton,3,4,A,16,20,4,11
WestBrom,CrystalPalace,0,2,A,11,10,1,4
Sunderland,ManCity,0,2,A,11,14,3,7
Tottenham,Everton,3,2,H,20,8,7,4
WestHam,Chelsea,1,2,A,11,9,2,4
ManCity,Stoke,0,0,D,12,5,1,2
Bournemouth,WestHam,3,2,H,21,15,9,7
Everton,WestBrom,3,0,H,16,5,5,2
Hull,Swansea,2,1,H,15,11,7,3
Liverpool,Burnley,2,1,H,10,11,3,1
Bournemouth,Swansea,2,0,H,12,10,6,1
CrystalPalace,Watford,1,0,H,7,6,0,2
Everton,Hull,4,0,H,14,6,8,0
Stoke,Chelsea,1,2,A,5,20,1,7
Sunderland,Burnley,0,0,D,14,17,5,3
WestBrom,Arsenal,3,1,H,12,11,8,2
WestHam,Leicester,2,3,A,20,11,7,5
ManCity,Liverpool,1,1,D,13,13,3,4
Middlesbrough,ManUnited,1,3,A,10,14,3,6
Tottenham,Southampton,2,1,H,12,8,6,3
Burnley,Tottenham,0,2,A,13,19,2,7
Chelsea,CrystalPalace,1,2,A,24,8,11,3
Hull,WestHam,2,1,H,7,12,3,4
Leicester,Stoke,2,0,H,23,10,10,2
Liverpool,Everton,3,1,H,10,9,6,4
ManUnited,WestBrom,0,0,D,18,3,3,1
Southampton,Bournemouth,0,0,D,14,12,4,3
Watford,Sunderland,1,0,H,23,11,10,3
Arsenal,ManCity,2,2,D,8,14,3,5
Swansea,Middlesbrough,0,0,D,15,8,3,1
Burnley,Stoke,1,0,H,7,15,3,2
Leicester,Sunderland,2,0,H,19,15,8,3
ManUnited,Everton,1,1,D,18,11,3,4
Watford,WestBrom,2,0,H,9,18,2,2
Arsenal,WestHam,3,0,H,21,7,8,2
Chelsea,ManCity,2,1,H,10,17,4,7
Hull,Middlesbrough,4,2,H,17,12,5,4
Liverpool,Bournemouth,2,2,D,20,7,8,2
Southampton,CrystalPalace,3,1,H,25,17,9,3
Swansea,Tottenham,1,3,A,4,18,1,8
Bournemouth,Chelsea,1,3,A,12,15,1,5
ManCity,Hull,3,1,H,23,6,7,1
Middlesbrough,Burnley,0,0,D,12,7,5,2
Stoke,Liverpool,1,2,A,9,14,4,4
Tottenham,Watford,4,0,H,19,8,6,2
WestBrom,Southampton,0,1,A,17,10,6,3
WestHam,Swansea,1,0,H,14,4,6,1
Everton,Leicester,4,2,H,12,6,7,4
Sunderland,ManUnited,0,3,A,9,18,4,9
CrystalPalace,Arsenal,3,0,H,17,11,6,3
CrystalPalace,Leicester,2,2,D,15,6,4,2
Everton,Burnley,3,1,H,29,13,7,6
Southampton,ManCity,0,3,A,8,18,1,5
Stoke,Hull,3,1,H,14,14,4,3
Sunderland,WestHam,2,2,D,14,7,4,3
Tottenham,Bournemouth,4,0,H,24,5,14,1
Watford,Swansea,1,0,H,15,13,7,4
ManUnited,Chelsea,2,0,H,9,5,3,0
